antecedent_codes,antecedent_labels,consequent_codes,consequent_labels,support,confidence,lift
END003,END003: Diabetes mellitus with complication,END010 | FAC025,END010: Disorders of lipid metabolism | FAC025: Other specified status,0.0845,0.5924,2.5121
CIR011,CIR011: Coronary atherosclerosis and other heart disease,END010 | FAC025,END010: Disorders of lipid metabolism | FAC025: Other specified status,0.112,0.5915,2.5083
CIR011 | FAC021,CIR011: Coronary atherosclerosis and other heart disease | FAC021: Personal/family history of disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0721,0.5953,2.5076
FAC025 | GEN002,FAC025: Other specified status | GEN002: Acute and unspecified renal failure,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0526,0.5952,2.5073
CIR008 | CIR011 | GEN003,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease | GEN003: Chronic kidney disease,END010,END010: Disorders of lipid metabolism,0.0544,0.7372,2.4898
CIR017,CIR017: Cardiac dysrhythmias,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0878,0.59,2.4853
FAC025 | RSP012,FAC025: Other specified status | RSP012: Respiratory failure; insufficiency; arrest,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0503,0.5894,2.4831
BLD003 | FAC025,BLD003: Aplastic anemia | FAC025: Other specified status,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0631,0.5876,2.4754
CIR011 | FAC021 | FAC025,CIR011: Coronary atherosclerosis and other heart disease | FAC021: Personal/family history of disease | FAC025: Other specified status,END010,END010: Disorders of lipid metabolism,0.0746,0.7323,2.4731
CIR008 | CIR011 | FAC021,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease | FAC021: Personal/family history of disease,END010,END010: Disorders of lipid metabolism,0.0525,0.7278,2.4581
CIR011 | GEN003,CIR011: Coronary atherosclerosis and other heart disease | GEN003: Chronic kidney disease,END010,END010: Disorders of lipid metabolism,0.0552,0.7234,2.4431
CIR008 | CIR011,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease,END010,END010: Disorders of lipid metabolism,0.0828,0.7228,2.4411
CIR008 | END003,CIR008: Hypertension with complications and secondary hypertension | END003: Diabetes mellitus with complication,END010,END010: Disorders of lipid metabolism,0.071,0.7214,2.4366
CIR008 | END003 | GEN003,CIR008: Hypertension with complications and secondary hypertension | END003: Diabetes mellitus with complication | GEN003: Chronic kidney disease,END010,END010: Disorders of lipid metabolism,0.0564,0.7209,2.4347
CIR008 | CIR011 | FAC025,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease | FAC025: Other specified status,END010,END010: Disorders of lipid metabolism,0.0705,0.7206,2.4339
CIR011 | FAC021,CIR011: Coronary atherosclerosis and other heart disease | FAC021: Personal/family history of disease,END010,END010: Disorders of lipid metabolism,0.087,0.718,2.4249
CIR017 | FAC021,CIR017: Cardiac dysrhythmias | FAC021: Personal/family history of disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0542,0.5754,2.4241
CIR008 | CIR011 | CIR019,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease | CIR019: Heart failure,END010,END010: Disorders of lipid metabolism,0.0601,0.7176,2.4238
RSP012,RSP012: Respiratory failure; insufficiency; arrest,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0557,0.5751,2.4226
CIR008 | CIR011 | CIR019 | FAC025,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease | CIR019: Heart failure | FAC025: Other specified status,END010,END010: Disorders of lipid metabolism,0.0515,0.7166,2.4202
CIR011 | FAC025,CIR011: Coronary atherosclerosis and other heart disease | FAC025: Other specified status,END010,END010: Disorders of lipid metabolism,0.112,0.7164,2.4195
CIR011 | CIR017,CIR011: Coronary atherosclerosis and other heart disease | CIR017: Cardiac dysrhythmias,END010,END010: Disorders of lipid metabolism,0.0521,0.7159,2.4179
CIR008 | END003 | FAC025 | GEN003,CIR008: Hypertension with complications and secondary hypertension | END003: Diabetes mellitus with complication | FAC025: Other specified status | GEN003: Chronic kidney disease,END010,END010: Disorders of lipid metabolism,0.0504,0.7148,2.4141
CIR008 | END003 | FAC025,CIR008: Hypertension with complications and secondary hypertension | END003: Diabetes mellitus with complication | FAC025: Other specified status,END010,END010: Disorders of lipid metabolism,0.0634,0.7142,2.412
CIR008 | DIG004,CIR008: Hypertension with complications and secondary hypertension | DIG004: Esophageal disorders,END010,END010: Disorders of lipid metabolism,0.0543,0.7108,2.4005
