antecedent_codes,antecedent_labels,consequent_codes,consequent_labels,support,confidence,lift
CIR008 | CIR011 | END010,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease | END010: Disorders of lipid metabolism,CIR019,CIR019: Heart failure,0.0601,0.7255,4.9666
CIR008 | CIR011 | END010,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease | END010: Disorders of lipid metabolism,CIR019 | FAC025,CIR019: Heart failure | FAC025: Other specified status,0.0515,0.6214,4.9627
CIR008 | END003 | END010 | FAC025,CIR008: Hypertension with complications and secondary hypertension | END003: Diabetes mellitus with complication | END010: Disorders of lipid metabolism | FAC025: Other specified status,GEN003,GEN003: Chronic kidney disease,0.0504,0.7953,4.8749
CIR008 | END003,CIR008: Hypertension with complications and secondary hypertension | END003: Diabetes mellitus with complication,GEN003,GEN003: Chronic kidney disease,0.0782,0.7948,4.8718
CIR008 | END003 | FAC025,CIR008: Hypertension with complications and secondary hypertension | END003: Diabetes mellitus with complication | FAC025: Other specified status,GEN003,GEN003: Chronic kidney disease,0.0705,0.7946,4.8706
CIR008 | END003 | END010,CIR008: Hypertension with complications and secondary hypertension | END003: Diabetes mellitus with complication | END010: Disorders of lipid metabolism,GEN003,GEN003: Chronic kidney disease,0.0564,0.7942,4.868
CIR011 | CIR019,CIR011: Coronary atherosclerosis and other heart disease | CIR019: Heart failure,CIR008 | END010 | FAC025,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism | FAC025: Other specified status,0.0515,0.5876,4.852
END003 | GEN003,END003: Diabetes mellitus with complication | GEN003: Chronic kidney disease,CIR008 | END010,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism,0.0564,0.6891,4.8342
CIR011 | CIR019,CIR011: Coronary atherosclerosis and other heart disease | CIR019: Heart failure,CIR008 | END010,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism,0.0601,0.686,4.8129
CIR011 | CIR019 | FAC025,CIR011: Coronary atherosclerosis and other heart disease | CIR019: Heart failure | FAC025: Other specified status,CIR008 | END010,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism,0.0515,0.686,4.8126
BLD003 | CIR008,BLD003: Aplastic anemia | CIR008: Hypertension with complications and secondary hypertension,FAC025 | GEN003,FAC025: Other specified status | GEN003: Chronic kidney disease,0.0519,0.6681,4.8116
BLD003 | CIR008,BLD003: Aplastic anemia | CIR008: Hypertension with complications and secondary hypertension,GEN003,GEN003: Chronic kidney disease,0.0609,0.7844,4.8076
END003 | FAC025 | GEN003,END003: Diabetes mellitus with complication | FAC025: Other specified status | GEN003: Chronic kidney disease,CIR008 | END010,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism,0.0504,0.6837,4.7968
END010 | GEN003,END010: Disorders of lipid metabolism | GEN003: Chronic kidney disease,CIR008 | CIR011,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease,0.0544,0.5476,4.777
END003 | END010 | GEN003,END003: Diabetes mellitus with complication | END010: Disorders of lipid metabolism | GEN003: Chronic kidney disease,CIR008 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,0.0504,0.8771,4.4642
END003 | GEN003,END003: Diabetes mellitus with complication | GEN003: Chronic kidney disease,CIR008 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,0.0705,0.8616,4.385
CIR019 | END010,CIR019: Heart failure | END010: Disorders of lipid metabolism,CIR008 | FAC021,CIR008: Hypertension with complications and secondary hypertension | FAC021: Personal/family history of disease,0.0545,0.6148,4.3383
CIR008 | DIG004,CIR008: Hypertension with complications and secondary hypertension | DIG004: Esophageal disorders,GEN003,GEN003: Chronic kidney disease,0.0539,0.7065,4.3301
END010 | FAC025 | GEN003,END010: Disorders of lipid metabolism | FAC025: Other specified status | GEN003: Chronic kidney disease,CIR008 | FAC021,CIR008: Hypertension with complications and secondary hypertension | FAC021: Personal/family history of disease,0.0518,0.612,4.3186
CIR008 | END010 | FAC025 | GEN003,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism | FAC025: Other specified status | GEN003: Chronic kidney disease,END003,END003: Diabetes mellitus with complication,0.0504,0.614,4.3051
CIR019 | FAC021,CIR019: Heart failure | FAC021: Personal/family history of disease,CIR008 | END010,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism,0.0545,0.6125,4.2973
END010 | GEN003,END010: Disorders of lipid metabolism | GEN003: Chronic kidney disease,CIR008 | FAC021 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC021: Personal/family history of disease | FAC025: Other specified status,0.0518,0.5219,4.292
CIR008 | END011,CIR008: Hypertension with complications and secondary hypertension | END011: Fluid and electrolyte disorders,GEN003,GEN003: Chronic kidney disease,0.0501,0.6979,4.2779
END010 | FAC021 | GEN003,END010: Disorders of lipid metabolism | FAC021: Personal/family history of disease | GEN003: Chronic kidney disease,CIR008 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,0.0518,0.8391,4.2705
CIR011 | CIR019,CIR011: Coronary atherosclerosis and other heart disease | CIR019: Heart failure,CIR008 | FAC021,CIR008: Hypertension with complications and secondary hypertension | FAC021: Personal/family history of disease,0.0529,0.6036,4.2588
CIR011 | GEN003,CIR011: Coronary atherosclerosis and other heart disease | GEN003: Chronic kidney disease,CIR008 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,0.0637,0.8353,4.2512
END010 | FAC025 | GEN003,END010: Disorders of lipid metabolism | FAC025: Other specified status | GEN003: Chronic kidney disease,END003,END003: Diabetes mellitus with complication,0.0513,0.6062,4.2504
CIR019 | GEN003,CIR019: Heart failure | GEN003: Chronic kidney disease,CIR008 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,0.0644,0.8349,4.2493
CIR011 | CIR019 | END010,CIR011: Coronary atherosclerosis and other heart disease | CIR019: Heart failure | END010: Disorders of lipid metabolism,CIR008 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,0.0515,0.8338,4.2434
END010 | GEN003,END010: Disorders of lipid metabolism | GEN003: Chronic kidney disease,CIR008 | FAC021,CIR008: Hypertension with complications and secondary hypertension | FAC021: Personal/family history of disease,0.0596,0.6005,4.2372
END010 | GEN003,END010: Disorders of lipid metabolism | GEN003: Chronic kidney disease,CIR008 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,0.0821,0.8271,4.2096
CIR019 | END010,CIR019: Heart failure | END010: Disorders of lipid metabolism,CIR008 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,0.0733,0.8269,4.2082
END003 | END010,END003: Diabetes mellitus with complication | END010: Disorders of lipid metabolism,CIR008 | FAC025 | GEN003,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status | GEN003: Chronic kidney disease,0.0504,0.5377,4.1841
CIR008 | END010 | FAC021,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism | FAC021: Personal/family history of disease,CIR019,CIR019: Heart failure,0.0545,0.6097,4.1742
CIR011 | CIR019,CIR011: Coronary atherosclerosis and other heart disease | CIR019: Heart failure,CIR008 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,0.0718,0.8201,4.1736
CIR008 | END010 | FAC021,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism | FAC021: Personal/family history of disease,FAC025 | GEN003,FAC025: Other specified status | GEN003: Chronic kidney disease,0.0518,0.5794,4.1732
FAC021 | GEN003,FAC021: Personal/family history of disease | GEN003: Chronic kidney disease,CIR008 | END010 | FAC025,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism | FAC025: Other specified status,0.0518,0.5052,4.1714
CIR019 | FAC021,CIR019: Heart failure | FAC021: Personal/family history of disease,CIR008 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,0.0727,0.8173,4.1598
CIR008 | END010 | FAC025,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism | FAC025: Other specified status,GEN003,GEN003: Chronic kidney disease,0.0821,0.678,4.1555
GEN003,GEN003: Chronic kidney disease,CIR008 | END010 | FAC025,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism | FAC025: Other specified status,0.0821,0.5033,4.1555
CIR011 | END010 | GEN003,CIR011: Coronary atherosclerosis and other heart disease | END010: Disorders of lipid metabolism | GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0544,0.9851,4.15
CIR008 | END010,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism,FAC025 | GEN003,FAC025: Other specified status | GEN003: Chronic kidney disease,0.0821,0.576,4.1488
FAC025 | GEN003,FAC025: Other specified status | GEN003: Chronic kidney disease,CIR008 | END010,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism,0.0821,0.5914,4.1488
CIR008 | END010 | FAC025,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism | FAC025: Other specified status,CIR019,CIR019: Heart failure,0.0733,0.6054,4.1447
CIR019,CIR019: Heart failure,CIR008 | END010 | FAC025,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism | FAC025: Other specified status,0.0733,0.502,4.1447
CIR008 | FAC021,CIR008: Hypertension with complications and secondary hypertension | FAC021: Personal/family history of disease,FAC025 | GEN003,FAC025: Other specified status | GEN003: Chronic kidney disease,0.0815,0.5747,4.1394
FAC025 | GEN003,FAC025: Other specified status | GEN003: Chronic kidney disease,CIR008 | FAC021,CIR008: Hypertension with complications and secondary hypertension | FAC021: Personal/family history of disease,0.0815,0.5866,4.1394
END003 | END010 | FAC025 | GEN003,END003: Diabetes mellitus with complication | END010: Disorders of lipid metabolism | FAC025: Other specified status | GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0504,0.9824,4.1386
END003 | END010 | GEN003,END003: Diabetes mellitus with complication | END010: Disorders of lipid metabolism | GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0564,0.9814,4.1345
CIR008 | END010,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism,GEN003,GEN003: Chronic kidney disease,0.096,0.6734,4.1274
GEN003,GEN003: Chronic kidney disease,CIR008 | END010,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism,0.096,0.5883,4.1274
CIR019 | END010 | FAC021,CIR019: Heart failure | END010: Disorders of lipid metabolism | FAC021: Personal/family history of disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0545,0.9794,4.1257
CIR019,CIR019: Heart failure,CIR008 | END010,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism,0.0859,0.588,4.1249
CIR008 | END010,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism,CIR019,CIR019: Heart failure,0.0859,0.6025,4.1249
CIR008 | END010 | GEN003,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism | GEN003: Chronic kidney disease,END003,END003: Diabetes mellitus with complication,0.0564,0.5877,4.1205
FAC021 | FAC025 | GEN003,FAC021: Personal/family history of disease | FAC025: Other specified status | GEN003: Chronic kidney disease,CIR008 | END010,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism,0.0518,0.5859,4.1103
CIR008 | END010,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism,CIR019 | FAC025,CIR019: Heart failure | FAC025: Other specified status,0.0733,0.5144,4.1081
CIR019 | FAC025,CIR019: Heart failure | FAC025: Other specified status,CIR008 | END010,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism,0.0733,0.5856,4.1081
CIR008 | FAC021 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC021: Personal/family history of disease | FAC025: Other specified status,GEN003,GEN003: Chronic kidney disease,0.0815,0.6698,4.1055
CIR011 | CIR019 | END010,CIR011: Coronary atherosclerosis and other heart disease | CIR019: Heart failure | END010: Disorders of lipid metabolism,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0601,0.9734,4.1007
CIR008 | FAC021,CIR008: Hypertension with complications and secondary hypertension | FAC021: Personal/family history of disease,CIR019 | FAC025,CIR019: Heart failure | FAC025: Other specified status,0.0727,0.5133,4.0995
CIR019 | FAC025,CIR019: Heart failure | FAC025: Other specified status,CIR008 | FAC021,CIR008: Hypertension with complications and secondary hypertension | FAC021: Personal/family history of disease,0.0727,0.581,4.0995
CIR008 | FAC021 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC021: Personal/family history of disease | FAC025: Other specified status,CIR019,CIR019: Heart failure,0.0727,0.5982,4.0956
CIR011 | CIR019 | END010 | FAC025,CIR011: Coronary atherosclerosis and other heart disease | CIR019: Heart failure | END010: Disorders of lipid metabolism | FAC025: Other specified status,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0515,0.9721,4.0952
CIR008 | END010 | FAC021 | FAC025,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism | FAC021: Personal/family history of disease | FAC025: Other specified status,GEN003,GEN003: Chronic kidney disease,0.0518,0.6677,4.0927
CIR011 | FAC025 | GEN003,CIR011: Coronary atherosclerosis and other heart disease | FAC025: Other specified status | GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0637,0.97,4.0863
CIR008 | END010 | FAC021,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism | FAC021: Personal/family history of disease,GEN003,GEN003: Chronic kidney disease,0.0596,0.6667,4.0862
END010 | FAC025 | GEN003,END010: Disorders of lipid metabolism | FAC025: Other specified status | GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0821,0.9699,4.0861
CIR019 | END010,CIR019: Heart failure | END010: Disorders of lipid metabolism,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0859,0.9685,4.0801
FAC021 | GEN003,FAC021: Personal/family history of disease | GEN003: Chronic kidney disease,CIR008 | END010,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism,0.0596,0.5813,4.0779
END010 | FAC021 | FAC025 | GEN003,END010: Disorders of lipid metabolism | FAC021: Personal/family history of disease | FAC025: Other specified status | GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0518,0.9678,4.077
CIR008 | END010 | GEN003,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism | GEN003: Chronic kidney disease,END003 | FAC025,END003: Diabetes mellitus with complication | FAC025: Other specified status,0.0504,0.5252,4.077
END010 | GEN003,END010: Disorders of lipid metabolism | GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.096,0.9669,4.0734
CIR011 | GEN003,CIR011: Coronary atherosclerosis and other heart disease | GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0737,0.9666,4.0722
CIR019 | END010 | FAC025,CIR019: Heart failure | END010: Disorders of lipid metabolism | FAC025: Other specified status,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0733,0.9665,4.0714
CIR008 | FAC021,CIR008: Hypertension with complications and secondary hypertension | FAC021: Personal/family history of disease,GEN003,GEN003: Chronic kidney disease,0.0941,0.664,4.0697
GEN003,GEN003: Chronic kidney disease,CIR008 | FAC021,CIR008: Hypertension with complications and secondary hypertension | FAC021: Personal/family history of disease,0.0941,0.5767,4.0697
CIR019 | END003,CIR019: Heart failure | END003: Diabetes mellitus with complication,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0555,0.9657,4.0683
END010 | FAC021 | GEN003,END010: Disorders of lipid metabolism | FAC021: Personal/family history of disease | GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0596,0.9654,4.0671
END010 | GEN003,END010: Disorders of lipid metabolism | GEN003: Chronic kidney disease,END003,END003: Diabetes mellitus with complication,0.0575,0.579,4.0596
CIR011 | CIR019 | FAC021,CIR011: Coronary atherosclerosis and other heart disease | CIR019: Heart failure | FAC021: Personal/family history of disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0529,0.9626,4.0553
BLD003 | GEN003,BLD003: Aplastic anemia | GEN003: Chronic kidney disease,CIR008 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,0.0519,0.795,4.0459
CIR008 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,CIR019,CIR019: Heart failure,0.1161,0.5909,4.0452
CIR019,CIR019: Heart failure,CIR008 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,0.1161,0.7948,4.0452
CIR019 | GEN003,CIR019: Heart failure | GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.074,0.9595,4.0422
FAC021 | GEN003,FAC021: Personal/family history of disease | GEN003: Chronic kidney disease,CIR008 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,0.0815,0.7942,4.0422
CIR019 | FAC025 | GEN003,CIR019: Heart failure | FAC025: Other specified status | GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0644,0.9584,4.0376
CIR011 | CIR019 | FAC025,CIR011: Coronary atherosclerosis and other heart disease | CIR019: Heart failure | FAC025: Other specified status,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0718,0.9573,4.033
END003 | FAC025 | GEN003,END003: Diabetes mellitus with complication | FAC025: Other specified status | GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0705,0.9566,4.0298
CIR011 | CIR019,CIR011: Coronary atherosclerosis and other heart disease | CIR019: Heart failure,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0838,0.956,4.0272
END003 | GEN003,END003: Diabetes mellitus with complication | GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0782,0.9559,4.0268
CIR008 | FAC021,CIR008: Hypertension with complications and secondary hypertension | FAC021: Personal/family history of disease,CIR019,CIR019: Heart failure,0.0833,0.5875,4.0219
CIR019,CIR019: Heart failure,CIR008 | FAC021,CIR008: Hypertension with complications and secondary hypertension | FAC021: Personal/family history of disease,0.0833,0.57,4.0219
CIR008 | CIR011 | END010,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease | END010: Disorders of lipid metabolism,GEN003,GEN003: Chronic kidney disease,0.0544,0.6561,4.0214
END010 | GEN003,END010: Disorders of lipid metabolism | GEN003: Chronic kidney disease,END003 | FAC025,END003: Diabetes mellitus with complication | FAC025: Other specified status,0.0513,0.517,4.0128
GEN003,GEN003: Chronic kidney disease,CIR008 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,0.1285,0.7876,4.0085
CIR008 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,GEN003,GEN003: Chronic kidney disease,0.1285,0.654,4.0085
END003 | END010,END003: Diabetes mellitus with complication | END010: Disorders of lipid metabolism,CIR008 | GEN003,CIR008: Hypertension with complications and secondary hypertension | GEN003: Chronic kidney disease,0.0564,0.6016,4.0058
CIR008 | CIR011,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease,FAC025 | GEN003,FAC025: Other specified status | GEN003: Chronic kidney disease,0.0637,0.5559,4.0035
CIR008 | CIR011 | FAC025,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease | FAC025: Other specified status,GEN003,GEN003: Chronic kidney disease,0.0637,0.651,3.9902
CIR017 | CIR019,CIR017: Cardiac dysrhythmias | CIR019: Heart failure,CIR008 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,0.0566,0.7838,3.9893
END003 | END010 | FAC025,END003: Diabetes mellitus with complication | END010: Disorders of lipid metabolism | FAC025: Other specified status,CIR008 | GEN003,CIR008: Hypertension with complications and secondary hypertension | GEN003: Chronic kidney disease,0.0504,0.5967,3.9733
CIR019 | FAC021 | FAC025,CIR019: Heart failure | FAC021: Personal/family history of disease | FAC025: Other specified status,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0727,0.9366,3.9455
BLD003 | FAC025 | GEN003,BLD003: Aplastic anemia | FAC025: Other specified status | GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0519,0.9363,3.9444
CIR008 | CIR011,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease,GEN003,GEN003: Chronic kidney disease,0.0737,0.6433,3.9428
END003 | END010,END003: Diabetes mellitus with complication | END010: Disorders of lipid metabolism,FAC025 | GEN003,FAC025: Other specified status | GEN003: Chronic kidney disease,0.0513,0.5473,3.9417
CIR019 | FAC021,CIR019: Heart failure | FAC021: Personal/family history of disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0833,0.9354,3.9407
DIG004 | GEN003,DIG004: Esophageal disorders | GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0539,0.9346,3.9371
BLD003 | GEN003,BLD003: Aplastic anemia | GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0609,0.9333,3.9319
END011 | GEN003,END011: Fluid and electrolyte disorders | GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0501,0.9285,3.9114
CIR019 | FAC025,CIR019: Heart failure | FAC025: Other specified status,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.1161,0.9272,3.9061
CIR019,CIR019: Heart failure,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.1354,0.9269,3.9049
CIR008,CIR008: Hypertension with complications and secondary hypertension,CIR019,CIR019: Heart failure,0.1354,0.5704,3.9049
CIR008,CIR008: Hypertension with complications and secondary hypertension,FAC025 | GEN003,FAC025: Other specified status | GEN003: Chronic kidney disease,0.1285,0.5413,3.8988
FAC025 | GEN003,FAC025: Other specified status | GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.1285,0.9255,3.8988
CIR017 | CIR019,CIR017: Cardiac dysrhythmias | CIR019: Heart failure,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0668,0.9249,3.8964
CIR017 | GEN003,CIR017: Cardiac dysrhythmias | GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.053,0.9242,3.8933
FAC021 | FAC025 | GEN003,FAC021: Personal/family history of disease | FAC025: Other specified status | GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0815,0.9211,3.8802
GEN003,GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.1502,0.9205,3.8777
CIR008,CIR008: Hypertension with complications and secondary hypertension,GEN003,GEN003: Chronic kidney disease,0.1502,0.6327,3.8777
CIR017 | CIR019 | FAC025,CIR017: Cardiac dysrhythmias | CIR019: Heart failure | FAC025: Other specified status,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0566,0.9199,3.8753
FAC021 | GEN003,FAC021: Personal/family history of disease | GEN003: Chronic kidney disease,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0941,0.9175,3.8653
CIR008 | END003,CIR008: Hypertension with complications and secondary hypertension | END003: Diabetes mellitus with complication,CIR019,CIR019: Heart failure,0.0555,0.5638,3.8598
CIR008 | FAC025 | GEN003,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status | GEN003: Chronic kidney disease,END003,END003: Diabetes mellitus with complication,0.0705,0.5489,3.8485
CIR008 | CIR019 | END010,CIR008: Hypertension with complications and secondary hypertension | CIR019: Heart failure | END010: Disorders of lipid metabolism,CIR011 | FAC025,CIR011: Coronary atherosclerosis and other heart disease | FAC025: Other specified status,0.0515,0.5994,3.8343
CIR019 | END010,CIR019: Heart failure | END010: Disorders of lipid metabolism,CIR011 | FAC025,CIR011: Coronary atherosclerosis and other heart disease | FAC025: Other specified status,0.053,0.5972,3.8202
END003 | END010,END003: Diabetes mellitus with complication | END010: Disorders of lipid metabolism,GEN003,GEN003: Chronic kidney disease,0.0575,0.613,3.757
FAC025 | GEN003,FAC025: Other specified status | GEN003: Chronic kidney disease,END003,END003: Diabetes mellitus with complication,0.0737,0.531,3.7234
END003,END003: Diabetes mellitus with complication,FAC025 | GEN003,FAC025: Other specified status | GEN003: Chronic kidney disease,0.0737,0.517,3.7234
END003 | END010 | FAC025,END003: Diabetes mellitus with complication | END010: Disorders of lipid metabolism | FAC025: Other specified status,GEN003,GEN003: Chronic kidney disease,0.0513,0.6074,3.7229
CIR008 | CIR019 | END010 | FAC025,CIR008: Hypertension with complications and secondary hypertension | CIR019: Heart failure | END010: Disorders of lipid metabolism | FAC025: Other specified status,CIR011,CIR011: Coronary atherosclerosis and other heart disease,0.0515,0.7021,3.7082
CIR008 | CIR017,CIR008: Hypertension with complications and secondary hypertension | CIR017: Cardiac dysrhythmias,GEN003,GEN003: Chronic kidney disease,0.053,0.6043,3.704
CIR008 | CIR019 | END010,CIR008: Hypertension with complications and secondary hypertension | CIR019: Heart failure | END010: Disorders of lipid metabolism,CIR011,CIR011: Coronary atherosclerosis and other heart disease,0.0601,0.6998,3.696
CIR019 | END010 | FAC025,CIR019: Heart failure | END010: Disorders of lipid metabolism | FAC025: Other specified status,CIR011,CIR011: Coronary atherosclerosis and other heart disease,0.053,0.6981,3.6867
CIR019 | END010,CIR019: Heart failure | END010: Disorders of lipid metabolism,CIR011,CIR011: Coronary atherosclerosis and other heart disease,0.0617,0.6963,3.6774
CIR008 | END010 | FAC025,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism | FAC025: Other specified status,END003,END003: Diabetes mellitus with complication,0.0634,0.5234,3.6698
END003,END003: Diabetes mellitus with complication,CIR008 | GEN003,CIR008: Hypertension with complications and secondary hypertension | GEN003: Chronic kidney disease,0.0782,0.5486,3.6533
CIR008 | GEN003,CIR008: Hypertension with complications and secondary hypertension | GEN003: Chronic kidney disease,END003,END003: Diabetes mellitus with complication,0.0782,0.521,3.6533
END003 | FAC025,END003: Diabetes mellitus with complication | FAC025: Other specified status,CIR008 | GEN003,CIR008: Hypertension with complications and secondary hypertension | GEN003: Chronic kidney disease,0.0705,0.5475,3.6456
GEN003,GEN003: Chronic kidney disease,END003,END003: Diabetes mellitus with complication,0.0819,0.5018,3.5181
END003,END003: Diabetes mellitus with complication,GEN003,GEN003: Chronic kidney disease,0.0819,0.574,3.5181
END003 | FAC025,END003: Diabetes mellitus with complication | FAC025: Other specified status,GEN003,GEN003: Chronic kidney disease,0.0737,0.5723,3.5081
CIR019 | END010,CIR019: Heart failure | END010: Disorders of lipid metabolism,GEN003,GEN003: Chronic kidney disease,0.0501,0.5648,3.4619
END010 | GEN003,END010: Disorders of lipid metabolism | GEN003: Chronic kidney disease,CIR019,CIR019: Heart failure,0.0501,0.5045,3.4541
END003 | END010,END003: Diabetes mellitus with complication | END010: Disorders of lipid metabolism,CIR008 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,0.0634,0.676,3.4405
CIR011 | END003,CIR011: Coronary atherosclerosis and other heart disease | END003: Diabetes mellitus with complication,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.055,0.8151,3.4337
CIR008 | FAC025 | GEN003,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status | GEN003: Chronic kidney disease,CIR019,CIR019: Heart failure,0.0644,0.501,3.4296
